make_model,body_type,price,vat,km,previous_owners,next_inspection,inspection_new,body_color,paint_type,nr_of_doors,nr_of_seats,gearing_type,cylinders,drive_chain,fuel,emission_class,comfort_convenience,entertainment_media,extras,safety_security,gears,displacement_cc,age_years,hp_kw,condition,warranty_months,upholstery_type,upholstery_color,weight_kg,combined_l_per_100km,city_l_per_100km,country_l_per_100km,emissions_g_co2/km
Audi A1,Sedans,18500,Price negotiable,51160.0,1.0,2021-06,No,White,metallic,5.0,5.0,Automatic,4.0,front,Diesel,Euro 6,"Air conditioning,Armrest,Leather steering wheel,Lumbar support,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Split rear seats,Start-stop system,Tinted windows","Bluetooth,CD player,Hands-free equipment,MP3,On-board computer,Radio,Sound system,USB","Alloy wheels,Shift paddles,Sport package,Voice Control","ABS,Adaptive headlights,Central door lock,Central door lock with remote control,Daytime running lights,Driver drowsiness detection,Driver-side airbag,Electronic stability control,Fog lights,Head airbag,Immobilizer,Isofix,LED Daytime Running Lights,LED Headlights,Passenger-side airbag,Power steering,Rear airbag,Side airbag,Tire pressure monitoring system,Traction control",7.0,1598.0,2.0,85.0,Used,12.0,Cloth,Black,1275.0,4.0,4.6,3.6,105.0
Audi A1,Sedans,18500,VAT deductible,15850.0,1.0,2020-03,Yes,Black,metallic,5.0,5.0,Automatic,4.0,front,Benzine,Euro 6,"Air conditioning,Armrest,Automatic climate control,Cruise control,Electrical side mirrors,Hill Holder,Leather steering wheel,Light sensor,Lumbar support,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Start-stop system","Bluetooth,CD player,Hands-free equipment,MP3,On-board computer,Radio,USB","Alloy wheels,Sport seats,Voice Control","ABS,Central door lock,Central door lock with remote control,Daytime running lights,Driver-side airbag,Electronic stability control,Fog lights,Head airbag,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control,Xenon headlights",7.0,1395.0,3.0,92.0,Used,12.0,Cloth,Black,1180.0,4.9,6.2,4.2,112.0
Audi A1,Sedans,18900,Price negotiable,17000.0,1.0,2019-12,No,Grey,metallic,3.0,4.0,Automatic,4.0,front,Benzine,Euro 6,"Air conditioning,Armrest,Automatic climate control,Electrical side mirrors,Keyless central door lock,Light sensor,Multi-function steering wheel,Park Distance Control,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Split rear seats,Start-stop system","Bluetooth,CD player,Hands-free equipment,MP3,On-board computer,Radio,Sound system,USB","Alloy wheels,Catalytic Converter,Sport seats,Voice Control,Winter tyres","ABS,Central door lock with remote control,Daytime running lights,Driver-side airbag,Electronic stability control,Fog lights,Head airbag,Immobilizer,Isofix,LED Daytime Running Lights,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control,Xenon headlights",7.0,1395.0,3.0,92.0,Used,0.0,Cloth,Black,1190.0,4.9,6.2,4.2,112.0
Audi A1,Sedans,18850,VAT deductible,9077.0,1.0,2022-05,No,Black,metallic,5.0,4.0,Automatic,4.0,front,Diesel,Euro 6,"Air conditioning,Automatic climate control,Power windows",Radio,Alloy wheels,"ABS,Central door lock,Driver-side airbag,Electronic stability control,Immobilizer,Passenger-side airbag,Power steering,Side airbag,Traction control",7.0,1598.0,1.0,85.0,Used,0.0,Full leather,Black,1630.0,3.7,4.3,3.4,97.0
Audi A1,Sedans,18500,VAT deductible,3000.0,1.0,2022-09,No,White,metallic,5.0,4.0,Automatic,3.0,front,Benzine,Euro 6,"Air conditioning,Armrest,Cruise control,Electrical side mirrors,Leather steering wheel,Light sensor,Multi-function steering wheel,Navigation system,Power windows,Seat heating,Seat ventilation,Split rear seats,Start-stop system,Wind deflector","Bluetooth,CD player,Digital radio,Hands-free equipment,MP3,On-board computer,Radio,USB","Alloy wheels,Voice Control","ABS,Alarm system,Central door lock,Central door lock with remote control,Driver-side airbag,Electronic stability control,Emergency system,Fog lights,Head airbag,Immobilizer,Isofix,Passenger-side airbag,Power steering,Rear airbag,Side airbag,Tire pressure monitoring system,Traction control",7.0,999.0,1.0,70.0,Used,0.0,Cloth,White,1165.0,4.4,5.4,3.8,102.0
Audi A1,Sedans,8999,VAT nondeductible,115000.0,1.0,2020-05,No,White,metallic,5.0,4.0,Manual,3.0,front,Benzine,Euro 6,"Air conditioning,Electrical side mirrors,Leather steering wheel,Lumbar support,Power windows","Radio,Sound system","Alloy wheels,Winter tyres","ABS,Central door lock,Central door lock with remote control,Daytime running lights,Driver-side airbag,Electronic stability control,Head airbag,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control",5.0,999.0,3.0,70.0,Used,0.0,Cloth,Black,1135.0,4.2,5.0,3.7,97.0
Audi A1,Compact,11444,VAT deductible,84029.0,1.0,2020-03,Yes,Blue,metallic,2.0,4.0,Manual,3.0,front,Benzine,Euro 6,"Air conditioning,Automatic climate control,Electrical side mirrors,Hill Holder,Keyless central door lock,Leather steering wheel,Light sensor,Multi-function steering wheel,Park Distance Control,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Start-stop system","Bluetooth,CD player,Hands-free equipment,MP3,On-board computer,Radio,USB","Alloy wheels,Voice Control","ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Fog lights,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control",5.0,999.0,3.0,70.0,Used,0.0,Cloth,Black,1110.0,4.2,5.0,3.7,97.0
Audi A1,Sedans,11300,VAT nondeductible,67800.0,1.0,2020-06,No,Black,metallic,5.0,5.0,Manual,3.0,front,Benzine,Euro 6,"Air conditioning,Electrical side mirrors,Leather steering wheel,Power windows,Start-stop system",Radio,Alloy wheels,"ABS,Central door lock,Central door lock with remote control,Daytime running lights,Electronic stability control,Head airbag,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control,Xenon headlights",5.0,999.0,3.0,70.0,Used,0.0,Cloth,Grey,1135.0,4.2,5.0,3.7,97.0
Audi A1,Sedans,18900,VAT deductible,14556.0,1.0,2022-04,No,White,uni/basic,5.0,5.0,Automatic,3.0,front,Diesel,Euro 6,"Air conditioning,Automatic climate control","CD player,MP3,Radio",Alloy wheels,"ABS,Driver-side airbag,Fog lights,Power steering,Traction control",7.0,1422.0,1.0,66.0,Used,0.0,Cloth,Black,1215.0,4.3,3.8,3.5,99.0
Audi A1,Compact,11290,VAT nondeductible,22000.0,1.0,2020-03,No,Black,metallic,4.0,4.0,Manual,3.0,front,Benzine,Euro 6,"Air conditioning,Electrical side mirrors,Power windows,Rain sensor,Start-stop system","Bluetooth,CD player,Hands-free equipment,On-board computer,Radio,USB",Alloy wheels,"ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system",5.0,999.0,3.0,70.0,Used,0.0,Cloth,Black,1165.0,4.4,5.2,3.9,102.0
